"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","173","用例名称","test_case.http","Thu Jul 31 20:08:20 CST 2025","passed","Thu Jul 31 20:08:20 CST 2025","TestDemo","test_demo","",""
"","378","用例名称","test_case.http","Thu Jul 31 20:08:20 CST 2025","passed","Thu Jul 31 20:08:20 CST 2025","TestDemo","test_demo","",""
